title,comment,user,reviewdate,rating,type,upvotes
Los contenidos sobre la materia,Buenos conceptos. Interesante y amena su lectura. La tipograf a mejorable y la encuadernaci n algo incomoda para su lectura,Ignacio,2020-08-15,4.0,Verified,0
Programmers galore !,"There are quite a few things to say about this book, I will begin with complimenting the author s style of articulating real world problems intertwined then with elements of code to signify the intent of this book. Second and most important thing to consider, it s definitely not for the faint hearted. Read this book if you are inclined to elevate your ML problem solving ability to the next level and more importantly get code friendly. Your ability to read code will make you appreciate the importance of many solutions suggested by the author. For some of them transitioning into a AI/ML career or ML centric product development & product management in particular, I would suggest reading the chapter on Evaluation Metrics . It s a great way to measure what matters while solving or practicing many of the problems described by the author. There are some minor aesthetics to the content where ample simplified references are not readily available which may have helped consume all of the problem statements described in the book. Overall a 4.5 star and I will look forward to the next one in this series with more exciting real world applications.",Suraj Nagaraj,2020-08-12,5.0,Verified,2
Must Buy! Must Read! ML bible !,"Abhishek Thakur did an amazing job putting together everything that is needed to build a machine learning model. Usually, to learn machine learning, you have to refer numerous books to come up with a complete solution. With this book in hand, you don t have to do that anymore. Excellent book for anyone who has some ML basics.",Madhav,2020-08-09,5.0,Verified,0
Tr s bon livre,"Ce livre adopte une approche pratique, tr s diff rente des autres livres de machine learning. Les concepts sont bien expliqu s sans se soucier des d tails th oriques, le code est bien expliqu dans les commentaires. On apprend bcp sur les bonnes pratiques de programmation/cr ation d un projet. Les - (mais cela ne change pas ma note de 5/5) : - la qualit d impression, - j aurais appr ci l ajout d un index, le rappel du nom du chapitre en haut de page, figures en couleurs. malgr cela, la lecture reste confortable et avec son petit prix, on ne peut pas demander plus.",Keyci,2020-08-06,5.0,Verified,One
Very complete,Awesome tips and explanations.,Loren o,2020-08-06,5.0,Verified,One
"Useful for an absolute beginner, but only as a supplement for other sources",The content is really rather shallow and the presentation leaves a lot to be desired. There are some useful tidbits but mainly it feels like a print off from scikit learn docs in some places.,JMA,2020-08-04,3.0,Verified,0
Buy it,Great book. Now appearing on recommend lists and it's understandable why. It's not a huge price and it's worth your time and attention. Buy it.,E. Leonard,2020-08-03,5.0,Verified,0
This book really showed me what I need to do,"This book really showed me what I need to do. It doesn't just demonstrate different tools, it gives you a cheat sheet that you can apply to any problem and how to think about what you're doing in each phase of your project.",Farid R.,2020-07-29,5.0,Verified,0
Great book by a one of the top Data Scientists in the world,"This book gives you the tips & tricks top practitioners use to solve Machine Learning problems. This is an applied book, so some in ML background is needed. However, even with a basic understanding of ML, you'll be able to gain a lot from this book. If you are a Data Scientist trying to get better at using Machine Learning methods, get this book. It has a very high signal-to-noise ratio!",Amazon Customer,2020-07-26,5.0,Verified,0
Very good,"Being a fan of such a Kaggle Grandmaster, I expected this. To the point and everything in detail.",Somanath Nanda,2020-07-25,5.0,Verified,0
A simple and comprehensible Machine Learning Practical Text book.,"I am very happy with my purchase. In the first 4 chapters, all the basics of machine learning are well covered in a simple and comprehensible way. The feature engineering and feature selection chapters are also commendable. The chapter 'Approaching image classification and segmentation' also captured every detail in a high standard at the same time easily understandable. Thanks. Pallabi Sarmah",Bord,2020-07-24,5.0,Verified,One
 ," ""Kaggle ~"" Python ",Amazon ,2020-07-23,5.0,Verified,0
Excellent Book. Highly recommended for everyone,This book has a complete overview of algorithms and its usage in business. very sensible and shows straightforward approaches to the problems. User can easily setup the environment and straightforward can start working on code. I suggest this book for peoples who want to know about machine learning with examples.,Amazon Customer,2020-07-21,5.0,Verified,0
Book for practitioner,This is not a book for the uninitiated in ML. Readers who have some knowledge of ML will benefit from the author's years of practical experience in this field.,Sanjeev Jha,2020-07-21,5.0,Verified,0
"Great book, highly recommend!",Absolutely loved the book. There are few chapters on structuring your machine learning projects and dealing with categorical variables which you will never found in any other ML book.,Shrushti vora,2020-07-19,5.0,Verified,0
TOP,Best machine learning book,Rylmee,2020-07-18,5.0,Verified,0
A must-have code-first resource for any machine learning practitioner.,Great resource for a code-first python approach for machine learning. Buy it now!,jwhoffman,2020-07-18,5.0,Verified,0
Easily explained and great coding first approach,Great book with a coding first approach. A book that should be read with your computer on the side and coding every example in it. Highly recommend it to any one interested in taking their skills to the next level.,CLeyson,2020-07-18,5.0,Verified,0
Coding,Nice book. with one cup of Coffee and reading the booking and trying coding on laptop. You will learn a lot !! Good work Abhi !!!,kapil,2020-07-17,5.0,Verified,One
Not worth the hype,Not worth the hype Unorganized content Images and figures in black n white makes difficult to understand,Sachin,2020-07-17,1.0,Verified,7
A book with concise explanations,"It's been 11 days since I got this book. I have refreshed so many topics (with code) and learned many new. I wish to lay out a few points which helped me, and I can carry from the book, but before that, thank you Abhishek Thakur for placing things in order. And trust me, I am waiting for the book you mentioned on page-271. -> Page-3 If you didn't code, you didn't learn. I think this is the best way to learn. I went through a theoretical module on machine learning, and initially, I wasn't getting much, and the moment I started coding for an assignment of the same module, every bit of the module started making sense that's so common, right? -> This book has one thing particular that is code with concise explanations. I love the way the author has derived us throughout different chapters. It helped me to refresh certain topics in order and adapt to the new ones quickly. -> Since I was familiar with basics, I jumped to page 185 and finished till 271, I know that's the wrong way, but I don't know why I did that :-p later, this book forced me to go through the starting chapters as well, since it is well written and organized. -> I would suggest anyone with basic knowledge of machine learning concepts must go through this book and start addressing practical problems.",DS,2020-07-17,5.0,Verified,2
Empfehlenswert,"Aus Sicht eines Freizeit-DataScientist mit etwas Erfahrung in ML (Kaggle Comp Expert): Tolles Buch! Sehr klar strukturiert. Wer den Youtube-Channel von Abhishek kennt, wird das ein oder andere wieder finden. Es ist also eine prima Erg nzung, liest sich aber auch ohne die Videos einwandfrei. Mir gefallen besonders die Kapitel zu den Basics wie CV, Metrics & Feature Engineering aber auch der NLP-Teil. Auch f r komplexere Themen wie Images und NLP gibt es auf diesen 300 Seiten inkl. Code gute Einstiegsbeispiele. Was mir auch gut gefallen hat, ist, dass das Buch den Leser respektiert. Das hei t, Dinge werden nicht unn tig komplex formuliert (keine Formelschlachten in Altgriechisch :-) ). Dennoch wird dem Leser zugetraut zu wissen, was z.B. eine Quantile ist oder wie er eine Suchmaschine bedient, um an anderer Stelle Themen zu vertiefen. Layout-/Seitengestalltung: Zweckm ig. Code im Buch? Schon lange nicht mehr gesehen. Funktioniert aber gut, da i.d.R. die Listings k rzer als eine Seite, bersichtlich und ausf hrlich kommentiert sind. Fazit: Mit dem Buch lassen sich gut durchdachte ML-Frameworks aufbauen. Preis-Leistung: 5-Sterne. Hinweis: Sorgf ltig den Covertext lesen! Hier ist sehr zutreffend beschrieben was das Buch beinhaltet und was eben auch nicht.",Johannes Tomasoni,2020-07-17,5.0,Verified,One
Amazing book !,Thank you so much for this amazing book !!! I highly recommend it for anyone who wants to excel in datascience !,Client d'Amazon,2020-07-16,5.0,Verified,One
Excellent hands-on,"This is one of the best hands-on ML books that I have read so far. The way that the author explains make it easy to understand. Also, I liked a lot the coding style and the ML arrangement shown in the book.", derson Andr de Souza,2020-07-15,5.0,Verified,One
"Amazing book, You will learn so much.","A fabulous book for any beginner or machine learning practitioners looking to use begin/enhance his skills and deepen its knowledge in the field of AI through concrete examples, projects and nice explanations. You need to have your computer while reading this book to write code chunks and test them. This rewriting exercise is interesting for learning (better than copy - paste and test) A big plus, the author who is providing additional content on his YT channel. Hope that there is a lot more to come. Well done Abhishek.",Skander HR,2020-07-15,5.0,Verified,One
 , kaggle , ,2020-07-15,5.0,Verified,One
 , - - - - - - - - - - - - - Kaggle kaggle 2 Python , ,2020-07-13,5.0,Verified,2
Excellent book !,This is excellent book by Kaggle 4x Grandmaster. It's perfect if you prefer coding to theory and you have some background in Machine Learning. So far I have read 5 chapters. The Evaluation metrics chapter is quite comprehensive. 5th chapter - Arranging machine learning projects is sooo helpful to keep things organized. Looking forward to reading the rest.,Rashmi Banthia,2020-07-13,5.0,Verified,0
Highly recommended and extremely useful for practical applications,Really useful book ... covers little bit of basics while mainly providing pragmatic solutions to machine learning problems. Helped me get hands on with implementing solutions. Personally I really liked the Feature Engineering and Feature Selection portion of the book. Highly recommended looking to enhance their practical skills in machine learning.,ST,2020-07-13,5.0,Verified,0
Great Practical ML Book,"This book has a lot of excellent code snippets for approaching various ML problems from tabular supervised learning, NLP, and computer vision. The code is very clean and high quality. Chapter 5 on organizing ML projects is great; this is not a topic often covered by other authors but very important in practice. This book is a very good bridge for someone who has learned some theory and/or taken a MOOC already and is interested in proper application.",Jonathan,2020-07-09,5.0,Verified,0
Master class by the grandmaster,"This book is a master class on applied machine learning. Like other master classes, it s not for beginners who d like to learn fundamentals and theories behind. Rather it s for people who already learned the basic, but still need some guidance on how to get started with ML problems in practice. The author is the perfect person for this master class. Since well before the machine learning competitions got popular and code sharing became norm in the data science community, he was known for his beat-the-benchmark (BTB) solution sharing: Regardless domains, once an ML competition started, he shared a clean and efficient solution that beat the benchmark solution shared by companies like Amazon and Facebook in a day or so. By following this book, you will learn about not only great starting points for different ML problems, but also best practices on the ML coding and pipeline. Highly recommended.",Jeong-Yoon Lee,2020-07-09,5.0,Verified,4
"Concise content, tips and tricks for ML practitioners","I like this book for its brevity! It is an excellent book for folks who already are aware of various techniques theoretically but kind of hard to pin point where and how to implement them. This book definitely serves the purpose for getting one thinking about how to do it. Although, it is not a detailed outlook (and neither do I expect as there are so many more books covering that) on each topic it definitely is a great reference when you re stuck on a problem and thinking where to ponder next. The code snippets are excellent as they explain how to make a certain change to a dataset, problem etc and has few tricks as well which I really appreciate. Of course, it s not comprehensive but again the title itself say approaching any problem and the user is supposed to know a thing or two about ml before taking this book. I would recommend this book for all those trying to quickly spin up machine learning problem and build on top of the results.",Parshad,2020-07-09,5.0,Verified,0
A must for all practical ML enthusiasts,"As the author mentions, the book not like standard textbooks - it is much better than the traditional ones. The book is very practical in nature and includes lots of coding which is helpful to get the practical experience while understanding the theory learnt. Some basic programming and ML experience will help the readers better comprehend the textbook components. Step by step tutorial style along with real-world datasets is what I liked the most. A must read for all ML/DS learners.",nabajeet,2020-07-08,5.0,Verified,One
Excellent!! Unlike Traditional Books!!,"Really love the approach Abhishek Thakur took with this book. It s not your traditional Welcome to Machine Learning concept where you re thrown a lot of theory and little code. Instead, it gets you straight into the fire of coding, seeing results, and best practices. My initial concern is will this book only benefit competitive modelers or will it benefit those of us working deep into the industry? So far the code, concepts, and intuitions are applying to both. I m excited to dive deeper.",Zack,2020-07-08,5.0,Verified,0
Reading kaggle notebooks is better,"This book contains shallow (trivial, if you are familiar with ML) contents. I'd recommend reading ""Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems"" and pandas related books to get familiar with the libraries, and then read kaggle notebooks, you'll probably learn more this way.",I read,2020-07-07,1.0,Verified,3
A good starter for applied machine learning,"As the author suggests, this is a good book to start your machine learning journey with some good direction. The neat part is the author is very active in youtube in disseminating his knowledge in this field. This book is just the beginning and if you want to get deeper, just contact the author to make a video on that topic.",Rutayan Patro,2020-07-06,5.0,Verified,One
Frenetic & shallow,"Well, I kind of expected this brochure to be an overview but I didn't expect it to be that shallow and chaotic. The author is jumping from statement to statement, from t-SNE to cross-validation, Sturge's rule and God knows what else all these by page 27. There are no instructions on how to obtain the datasets (I know how and where but that's not the point, we strive for reproducibility here and we are not expected to 'believe' in certain things like in Santa or Yeti). The phrases 'as you can see on this graph' are nothing but funny. Where did that come from? Perhaps, it is well worth 9$ but no more than that. I will stick to the book by Aurelien G. To sum it all up, I will vote for kernels and medium posts but this...it ain't a book :) I can't teach things but I am not trying to. Perhaps we should stick to stuff we are good at?",White Rose,2020-07-05,1.0,Verified,62
Highly recommended for practitioners,"Really enjoying this book for a few reasons. 1) Very useful tips for organizing a ML project, 2) the author promotes good coding habits using repeatable Python scripting instead of Jupyter notebooks, 3) keeps the focus on implementation instead of algorithms.",Danny Morris,2020-07-05,5.0,Verified,9
An excellent book on building predictive models.,"Kaggle has a strange reputation within the data science community. On one hand it's a great source of innovation in a range of sub-fields and when solving a similar problem to an existing Kaggle competition seeing how it was approached by high ranking teams is very valuable. On the other it is a distorted version of what data science actually is in the real world. Usually the (clean) data is provided to you in Kaggle whereas sourcing, collecting and cleaning data is normally a big chunk of a working data scientists life. Finally the approaches in Kaggle competitions are often all about squeezing that tiny improvement out of large numbers of ensembled models. In the real world concessions towards speed, simplicity and interpretability have to be made. The author Abhishek Thakur was the first to achieve GM level across all 4 categories on Kaggle (competitions, kernels, datasets and discussion) . Even a single GM level is an exceptionally difficult task requiring immense amounts of time and skill. My worry going into this book was who it was aimed at and what its purpose is; is it just about doing well on Kaggle or will people who work in industry learn something valuable? Is it aimed at advanced modellers who are looking to become truly elite or would someone with a more general background gain useful knowledge? I am pleased to state that this is a book which is very valuable for the working data scientist and the keen Kaggler. The real value is how it allows us to see how a highly skilled predictive modeller approaches new problems. The book is made up of 13 chapters; ch 1 - Setting up your working environment ch 2 - Supervised vs Unsupervised Learning ch 3 - Cross-validation ch 4 - Evaluation Metrics ch 5 - Arranging Machine Learning Projects ch 6 - Approaching categorical variables ch 7 - Feature engineering ch 8 - Feature selection ch 9 - Hyperparameter optimisation ch 10 - Approaching image classification & segmentation ch 11 - Approaching text classification/regression ch 12 - Approaching ensembling and stacking ch 13 - Approaching reproducible code & model serving While Kaggle is great at discussing a highly placed final entry, the value of this book is a walk through of the steps taken towards a solution; ch 1 on Setting up your working environment, ch 5 Arranging a machine learning project and ch 13 on Reproducible code and model serving I found particularly valuable learning some neat tricks on laying out a project. These are all valuable topics which can get lost when we ask ""How did the solution work"" as in reality the final answer involved lots of iteration lost in just seeing the final product. I really liked the way the author's projects were laid out using a config file and model_dispatcher file allowing for quick modification of which algorithm to use. I had not come across this before but it's a great idea which speeds up the iteration of the modelling process. The other elements that I think makes this book such a great learning solution for people beginning their data science journey is that it shows mistakes which the author then discusses in depth. Finally we see many examples of simpler models beating more complex ones a lesson that is hard to accept when you are starting out and keen to apply XGBoost or Neural Networks to all the things. This book is not just for beginners however - even as someone who has worked as data scientist in industry for a number of years I learnt a great deal from the chapters on dealing with categorical variables, feature engineering and feature selection. As the author notes there are other sources for these solutions but they are spread out across numerous blog posts and forums - having them in a book makes things much easier. I work in customer analytics so when building predictive models a lot of time in spent on feature engineering and feature selection - I learnt a couple of tricks which will be valuable for new projects at work. The book even includes a section on using embeddings on tabular data - a neat approach not widely used in my experience. Finally the book amazingly includes chapters on computer vision problems using PyTorch for classification and image segmentation and nlp using a range of approaches of increasing complexity from bag of words through word2vec to and LSTM and finally a BERT model. The author rightly skips over the complexities of how a CNN or LSTM and Transformer work, but gives enough of a description to get a sense of what is going on. Again the author emphasises the valuable lesson of starting with simpler models and approaches and only then increasing the complexity with constant comparison to a baseline. The author hints (perhaps jokingly) he is considering work on similar books on Computer Vision and NLP - I hope the success of this book encourages him to seriously consider doing this. It is an amazing achievement that the author has created a book which allows the reader to build strong models in a such broad range of domains. The book is well written with the code in particular being excellent. There were one or two spots where the written phrasing was a little hard to follow but these were rare and overall I enjoyed the writing style. The book is eminently practical so the reader will need to find other sources for the theoretical workings of the algorithms used as they gain more experience. Given the breadth the book achieves this is perfectly acceptable. Finally a small technical issue I had with the Kindle version was the lack of a table of contents accessible via the Kindle menu. Not a big thing but does make navigating the book a little trickier than it needs to be. Overall this is an excellent book full of hard won wisdom from a very talented data scientist and educator. I would happily have paid 4 or 5 times its current price and still been very happy with my purchase. I will be highly recommending this book to friends and colleagues who work (or hope to work) in the field.",Stephen Oates,2020-07-05,5.0,Verified,19
"Very useful, learned a lot quickly","This book, written by a legendary Kaggle competitor, is filled with great practical knowledge and code examples (in Python) for approaching machine learning problems. The material is explained simply and clearly. Upon reading through the book I quickly began filling in gaps in my knowledge (fundamental techniques or concepts that I did not know as well as I should). I also learned a lot by looking at the Python code examples, which show many good ways of doing things in Python that I had not known about. Another good aspect of the book is the choice of datasets that are used when illustrating various techniques.",amazonian,2020-07-04,5.0,Verified,3
Excellent book,"Just started reading and glanced through all the pages, this is what I expected from Abhishek. Highly recommend for aspiring data scientist, analyst and machine learning engineers.",Vijayan Nallasami,2020-07-04,5.0,Verified,One
